Age_Group,Normal,rate,Overweight,Underweight,N,Median,id
Adult,0.238095238,0.285714286,0.476190476,0,42,28.71253902,22976
Child,0.333333333,0.333333333,0.333333333,0,3,93.35029658,22976
Adult,0.41600561,0.32277491,0.224328402,0.036891077,59,25.31631282,22940
Child,0.199892209,0.526769514,0.136669138,0.136669138,6,99.99921492,22940
Adult,0.41600561,0.32277491,0.224328402,0.036891077,59,25.31631282,23084
Child,0.199892209,0.526769514,0.136669138,0.136669138,6,99.99921492,23084
Adult,0.41600561,0.32277491,0.224328402,0.036891077,59,25.31631282,24553
Child,0.199892209,0.526769514,0.136669138,0.136669138,6,99.99921492,24553
Adult,0.41600561,0.32277491,0.224328402,0.036891077,59,25.31631282,24562
Child,0.199892209,0.526769514,0.136669138,0.136669138,6,99.99921492,24562
Adult,0.271779276,0.323624971,0.374295316,0.030300438,92,26.70083247,22964
Child,0.157332794,0.440665496,0.40200171,0,12,92.9949513,22964
Adult,0.271779276,0.323624971,0.374295316,0.030300438,92,26.70083247,22949
Child,0.157332794,0.440665496,0.40200171,0,12,92.9949513,22949
Adult,0.271779276,0.323624971,0.374295316,0.030300438,92,26.70083247,22922
Child,0.157332794,0.440665496,0.40200171,0,12,92.9949513,22922
Adult,0.271779276,0.323624971,0.374295316,0.030300438,92,26.70083247,22937
Child,0.157332794,0.440665496,0.40200171,0,12,92.9949513,22937
Adult,0.271779276,0.323624971,0.374295316,0.030300438,92,26.70083247,22971
Child,0.157332794,0.440665496,0.40200171,0,12,92.9949513,22971
Adult,0.271779276,0.323624971,0.374295316,0.030300438,92,26.70083247,24599
Child,0.157332794,0.440665496,0.40200171,0,12,92.9949513,24599
Adult,0.261400117,0.373651214,0.331996445,0.032952224,74,27.78721893,22969
Child,0.627828536,0.372171464,0,0,8,74.7450285,22969
Adult,0.305895196,0.31368498,0.366218772,0.014201052,192,27.12191358,22923
Child,0.399383217,0.1361681,0.130802822,0.33364586,10,33.0984113,22923
Adult,0.305895196,0.31368498,0.366218772,0.014201052,192,27.12191358,22963
Child,0.399383217,0.1361681,0.130802822,0.33364586,10,33.0984113,22963
Adult,0.305895196,0.31368498,0.366218772,0.014201052,192,27.12191358,22920
Child,0.399383217,0.1361681,0.130802822,0.33364586,10,33.0984113,22920
Adult,0.305895196,0.31368498,0.366218772,0.014201052,192,27.12191358,22959
Child,0.399383217,0.1361681,0.130802822,0.33364586,10,33.0984113,22959
Adult,0.305895196,0.31368498,0.366218772,0.014201052,192,27.12191358,23117
Child,0.399383217,0.1361681,0.130802822,0.33364586,10,33.0984113,23117
Adult,0.2356482,0.35771315,0.395952926,0.010685724,210,28.33915614,22967
Child,0.688042794,0.079171157,0.189539501,0.043246548,24,60.68408485,22967
Adult,0.2356482,0.35771315,0.395952926,0.010685724,210,28.33915614,23093
Child,0.688042794,0.079171157,0.189539501,0.043246548,24,60.68408485,23093
Adult,0.2356482,0.35771315,0.395952926,0.010685724,210,28.33915614,24590
Child,0.688042794,0.079171157,0.189539501,0.043246548,24,60.68408485,24590
Adult,0.2356482,0.35771315,0.395952926,0.010685724,210,28.33915614,22973
Child,0.688042794,0.079171157,0.189539501,0.043246548,24,60.68408485,22973
Adult,0.2356482,0.35771315,0.395952926,0.010685724,210,28.33915614,22942
Child,0.688042794,0.079171157,0.189539501,0.043246548,24,60.68408485,22942
Adult,0.2356482,0.35771315,0.395952926,0.010685724,210,28.33915614,23024
Child,0.688042794,0.079171157,0.189539501,0.043246548,24,60.68408485,23024
Adult,0.261400117,0.373651214,0.331996445,0.032952224,74,27.78721893,22935
Child,0.627828536,0.372171464,0,0,8,74.7450285,22935
Adult,0.261400117,0.373651214,0.331996445,0.032952224,74,27.78721893,23065
Child,0.627828536,0.372171464,0,0,8,74.7450285,23065
Adult,0.278532292,0.213532385,0.489937183,0.017998141,72,27.19400913,23055
Child,0.747474942,0.148310531,0,0.104214527,11,53.98541703,23055
Adult,0.278532292,0.213532385,0.489937183,0.017998141,72,27.19400913,22946
Child,0.747474942,0.148310531,0,0.104214527,11,53.98541703,22946
Adult,0.278532292,0.213532385,0.489937183,0.017998141,72,27.19400913,22974
Child,0.747474942,0.148310531,0,0.104214527,11,53.98541703,22974
Adult,0.278532292,0.213532385,0.489937183,0.017998141,72,27.19400913,22938
Child,0.747474942,0.148310531,0,0.104214527,11,53.98541703,22938
Adult,0.278532292,0.213532385,0.489937183,0.017998141,72,27.19400913,23022
Child,0.747474942,0.148310531,0,0.104214527,11,53.98541703,23022
Adult,0.466391708,0.212162229,0.310464665,0.010981398,214,25.67567568,22903
Child,0.549800046,0.229791629,0.148242354,0.072165971,48,75.35406688,22903
Adult,0.466391708,0.212162229,0.310464665,0.010981398,214,25.67567568,22932
Child,0.549800046,0.229791629,0.148242354,0.072165971,48,75.35406688,22932
Adult,0.375027086,0.219927329,0.384476201,0.020569384,262,25.60353798,22901
Child,0.656879021,0.192238073,0.133042662,0.017840244,43,56.76630226,22901
Adult,0.375027086,0.219927329,0.384476201,0.020569384,262,25.60353798,22911
Child,0.656879021,0.192238073,0.133042662,0.017840244,43,56.76630226,22911
Adult,0.454276655,0.212333548,0.283890333,0.049499464,169,24.88647461,22902
Child,0.471826445,0.177445051,0.289373822,0.061354681,27,81.24496742,22902
Adult,0.454276655,0.212333548,0.283890333,0.049499464,169,24.88647461,22968
Child,0.471826445,0.177445051,0.289373822,0.061354681,27,81.24496742,22968
Adult,0.44712631,0.134884152,0.40473042,0.013259118,201,25.50524053,22958
Child,0.718307409,0,0.091683848,0.190008743,21,54.57791697,22958
Adult,0.44712631,0.134884152,0.40473042,0.013259118,201,25.50524053,22931
Child,0.718307409,0,0.091683848,0.190008743,21,54.57791697,22931
Adult,0.44712631,0.134884152,0.40473042,0.013259118,201,25.50524053,22936
Child,0.718307409,0,0.091683848,0.190008743,21,54.57791697,22936
Adult,0.44712631,0.134884152,0.40473042,0.013259118,201,25.50524053,22947
Child,0.718307409,0,0.091683848,0.190008743,21,54.57791697,22947
Adult,0.342435974,0.093357281,0.564206745,0,46,25.84558824,22943
Child,1,0,0,0,3,71.16851823,22943
Adult,0.342435974,0.093357281,0.564206745,0,46,25.84558824,24464
Child,1,0,0,0,3,71.16851823,24464
